Dataset: Southeast US Summer,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Achelous gibbesii,Iridescent swimming crab,33.066,33.404,0.338,1.02,-10.53,-10.899,-0.369,3.5
Achelous spinimanus,Blotched swimming crab,33.209,34.035,0.826,2.49,-10.62,-11.233,-0.612,5.77
Anchoa spp.,Anchovies,32.34,32.16,-0.18,-0.56,-13.577,-13.567,0.01,-0.08
Ancylopsetta quadrocellata,Ocellated flounder,32.193,32.929,0.737,2.29,-10.905,-10.091,0.814,-7.47
Arenaeus cribrarius,Speckled swimming crab,31.87,34.084,2.214,6.95,-14.253,-13.442,0.811,-5.69
Bairdiella chrysoura,Silver perch,33.09,29.933,-3.157,-9.54,-13.88,-15.34,-1.46,10.52
Brevoortia tyrannus,Atlantic menhaden,29.747,32.048,2.301,7.73,-15.581,-10.904,4.676,-30.01
Callinectes ornatus,Shelling crab,31.941,32.487,0.547,1.71,-10.493,-12.029,-1.536,14.64
Callinectes sapidus,Blue crab,33.278,33.397,0.12,0.36,-11.817,-11.2,0.617,-5.22
Callinectes similis,Lesser blue crab,32.882,33.172,0.29,0.88,-10.53,-11.063,-0.533,5.06
Caranx crysos,Blue runner,32.954,32.808,-0.146,-0.44,-13.293,-11.235,2.058,-15.48
Centropristis striata,Black sea bass,33.733,33.88,0.147,0.44,-10.599,-11.209,-0.61,5.75
Chaetodipterus faber,Atlantic spadefish,31.985,32.047,0.062,0.19,-10.654,-7.885,2.769,-25.99
Chilomycterus schoepfii,Striped burrfish,32.204,31.994,-0.211,-0.65,-9.889,-10.09,-0.201,2.03
Chloroscombrus chrysurus,Atlantic bumper,31.21,30.863,-0.346,-1.11,-12.367,-12.04,0.327,-2.65
Citharichthys macrops,Spotted whiff,32.321,32.312,-0.009,-0.03,-11.833,-10.896,0.938,-7.92
Cynoscion nothus,Silver seatrout,30.095,32.161,2.066,6.87,-14.89,-12.208,2.682,-18.01
Cynoscion regalis,Weakfish,34.085,33.702,-0.384,-1.13,-12.457,-11.522,0.935,-7.5
Doryteuthis sp,Inshore Squid sp.,33.079,32.816,-0.263,-0.8,-12.419,-10.667,1.753,-14.11
Etropus crossotus,Fringed flounder,31.662,31.664,0.002,0.01,-11.831,-10.915,0.915,-7.74
Etropus cyclosquamus,Shelf flounder,33.297,34.66,1.363,4.09,-12.801,-13.063,-0.263,2.05
Eucinostomus spp.,Mojarras,30.101,31.643,1.542,5.12,-14.065,-11.104,2.961,-21.05
Gibbesia neglecta,Lesser mantis shrimp,32.034,31.643,-0.392,-1.22,-12.35,-11.742,0.608,-4.92
Gymnura micrura,Smooth butterfly ray,30.371,31.377,1.006,3.31,-15.852,-13.453,2.398,-15.13
Hepatus epheliticus,Calico box crab,32.114,31.408,-0.707,-2.2,-10.207,-10.64,-0.433,4.24
Hypanus say,Bluntnose stingray,32.316,32.933,0.616,1.91,-12.94,-11.623,1.317,-10.18
Lagodon rhomboides,Pinfish,34.051,34.149,0.098,0.29,-12.371,-12.537,-0.166,1.34
Larimus fasciatus,Banded drum,31.274,31.917,0.643,2.05,-13.509,-12.018,1.491,-11.03
Leiostomus xanthurus,Spot,31.949,32.201,0.251,0.79,-13.93,-12.104,1.827,-13.11
Lolliguncula brevis,Atlantic brief squid,31.643,32.383,0.741,2.34,-12.171,-12.076,0.095,-0.78
