Dataset: Eastern and Northern Bering Sea ,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Acantholumpenus mackayi,Pighead prickleback,63.767,63.866,0.1,0.16,-16.947,-17.72,-0.772,4.56
Aspidophoroides olrikii,Arctic alligatorfish,64.542,64.616,0.074,0.12,-43.335,-46.196,-2.861,6.6
Asterias amurensis,North pacific seastar,59.314,59.17,-0.144,-0.24,-45.645,-45.04,0.605,-1.33
Atheresthes stomias and A. evermanni,Arrowtooth and kamchatka flounders,57.332,56.757,-0.575,-1,-114.518,-109.197,5.32,-4.65
Bathymaster signatus,Searcher,57.551,58.331,0.781,1.36,-128.604,-137.879,-9.276,7.21
Bathyraja spp.,Skate complex,58.829,58.415,-0.414,-0.7,-77.929,-87.529,-9.6,12.32
Boltenia ovifera,Stalked sea squirt,58.116,58.562,0.446,0.77,-60.854,-70.568,-9.713,15.96
Boreogadus saida,Arctic cod,62.847,63.637,0.791,1.26,-54.053,-48.392,5.661,-10.47
Buccinum angulosum,Angular whelk,59.958,60.527,0.569,0.95,-111.72,-115.503,-3.782,3.39
Buccinum polare,Polar whelk,60.215,61.51,1.295,2.15,-66.5,-59.688,6.812,-10.24
Buccinum scalariforme,Ladder whelk,59.748,60.021,0.273,0.46,-107.098,-104.426,2.673,-2.5
Chionoecetes bairdi,Tanner crab,56.604,56.861,0.257,0.45,-99.413,-100.579,-1.166,1.17
Chionoecetes opilio,Snow crab,60.931,61.777,0.846,1.39,-72.235,-64.886,7.349,-10.17
Chrysaora melanaster,,62.577,62.908,0.331,0.53,-42.205,-45.015,-2.809,6.66
Clinopegma magnum,Helmet whelk,59.638,59.884,0.246,0.41,-100.949,-99.593,1.356,-1.34
Clupea pallasii,Pacific herring,60.545,58.867,-1.678,-2.77,-40.727,-51.411,-10.684,26.23
Crossaster papposus,Common sunstar,62.786,63.317,0.531,0.85,-51.205,-52.271,-1.066,2.08
Ctenodiscus crispatus,Mud star,60.067,60.171,0.104,0.17,-137.497,-133.271,4.226,-3.07
Dasycottus setiger,Spinyhead sculpin,57.78,57.151,-0.629,-1.09,-129.351,-123.672,5.679,-4.39
Eleginus gracilis,Saffron cod,63.383,63.602,0.22,0.35,-23.643,-22.456,1.187,-5.02
Enophrys diceraus,Antlered sculpin,64.109,64.402,0.293,0.46,-28.482,-22.799,5.683,-19.95
Erimacrus isenbeckii,Hair crab,59.071,59.222,0.151,0.26,-46.539,-47.02,-0.481,1.03
