Dataset: Gulf of Alaska ,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Anoplopoma fimbria,Sablefish,57.718,56.861,-0.856,-1.48,-290.665,-302.102,-11.437,3.93
Aphrocallistes vastus,Cloud sponge,58.846,58.032,-0.814,-1.38,-174.266,-245.374,-71.108,40.8
Atheresthes stomias,Arrowtooth flounder,57.209,56.946,-0.264,-0.46,-158.398,-136.719,21.679,-13.69
Bathymaster signatus,Searcher,56.847,56.521,-0.327,-0.57,-154.034,-150.451,3.583,-2.33
Bathyraja spp.,Skate complex,56.936,56.778,-0.158,-0.28,-193.531,-190.447,3.084,-1.59
Beringraja binoculata,Big skate,57.182,57.274,0.091,0.16,-70.976,-65.68,5.296,-7.46
Beringraja rhina,Longnose skate,58.168,58.099,-0.069,-0.12,-154.087,-167.174,-13.087,8.49
Berryteuthis magister,Magister armhook squid,56.62,56.915,0.295,0.52,-297.838,-276.54,21.298,-7.15
Brisaster latifrons,Northern heart urchin,59.241,58.966,-0.275,-0.46,-245.547,-253.462,-7.915,3.22
Chionoecetes bairdi,Tanner crab,57.154,57.094,-0.06,-0.1,-109.303,-98.141,11.162,-10.21
Clupea pallasii,Pacific herring,58.858,58.462,-0.396,-0.67,-83.968,-73.57,10.399,-12.38
Crossaster papposus,Common sunstar,57.005,58.31,1.305,2.29,-119.144,-106.709,12.435,-10.44
Ctenodiscus crispatus,Mud star,57.135,57.587,0.452,0.79,-171.654,-170.41,1.243,-0.72
Cyanea capillata,Lion's mane,56.893,57.307,0.414,0.73,-244.686,-168.641,76.044,-31.08
Dasycottus setiger,Spinyhead sculpin,57.891,57.577,-0.314,-0.54,-131.906,-119.387,12.519,-9.49
Fusitriton oregonensis,Oregon triton,56.547,56.627,0.08,0.14,-134.92,-113.468,21.452,-15.9
Gadus chalcogrammus,Walleye pollock,56.009,55.852,-0.157,-0.28,-106.813,-145.595,-38.782,36.31
Gadus macrocephalus,Pacific cod,55.981,56.42,0.438,0.78,-110.45,-118.226,-7.777,7.04
Glyptocephalus zachirus,Rex sole,56.974,56.662,-0.312,-0.55,-204.648,-184.843,19.805,-9.68
Gorgonocephalus eucnemis,Basket star,56.516,55.965,-0.552,-0.98,-137.052,-137.314,-0.262,0.19
Hemilepidotus jordani,Yellow irish lord,55.207,55.298,0.091,0.17,-77.955,-77.065,0.89,-1.14
Hemitripterus bolini,Bigmouth sculpin,56.919,57.457,0.538,0.95,-187.507,-196.145,-8.639,4.61
Hippoglossoides elassodon,Flathead sole,56.702,56.763,0.061,0.11,-100.82,-102.446,-1.627,1.61
Hippoglossus stenolepis,Pacific halibut,56.617,56.758,0.141,0.25,-114.743,-110.821,3.922,-3.42
Hyas lyratus,Pacific lyre crab,57.095,57.71,0.615,1.08,-99.679,-125.146,-25.467,25.55
Hydrolagus colliei,Spotted ratfish,55.666,55.932,0.266,0.48,-129.862,-112.548,17.313,-13.33
Isopsetta isolepis,Butter sole,57.51,56.833,-0.676,-1.18,-52.793,-54.997,-2.204,4.17
Lepidopsetta sp.,Rock soles,55.456,55.487,0.031,0.06,-76.207,-79.847,-3.639,4.78
Lethasterias nanimensis,Black spined sea star,55.926,56.858,0.932,1.67,-113.074,-105.485,7.589,-6.71
Limanda aspera,Yellowfin sole,55.543,55.587,0.045,0.08,-47.356,-42.461,4.895,-10.34
Lycodes brevipes,Shortfin eelpout,56.407,57.788,1.381,2.45,-94.206,-113.961,-19.754,20.97
Lycodes palearis,Wattled eelpout,58.418,58.239,-0.179,-0.31,-122.885,-112.765,10.12,-8.24
Lyopsetta exilis,Slender sole,57.049,57.28,0.231,0.4,-223.878,-185.887,37.991,-16.97
Malacocottus zonurus,Darkfin sculpin,55.965,54.064,-1.901,-3.4,-315.483,-233.733,81.749,-25.91
Mallotus villosus,Capelin,58.386,58.258,-0.128,-0.22,-88.173,-80.978,7.195,-8.16
Microstomus pacificus,Dover sole,57.952,57.987,0.036,0.06,-247.542,-229.131,18.411,-7.44
Mycale (Mycale) loveni,Loven's horny sponge,55.257,54.576,-0.682,-1.23,-172.403,-203.379,-30.976,17.97
Myoxocephalus polyacanthocephalus,Great sculpin,56.508,55.978,-0.53,-0.94,-58.771,-65.06,-6.288,10.7
Ophiodon elongatus,Lingcod,58.346,58.119,-0.227,-0.39,-158.43,-139.004,19.426,-12.26
Ophiura sarsii,Notched brittle star,57.827,58.91,1.083,1.87,-203.019,-157.295,45.724,-22.52
