Dataset: Northern Bering Sea ,,,,,,,,,
,,,,,,,,,
Species Scientific Name,Common Name,Avg Cog Lat Start,Avg Cog Lat End,Diff in COG Lat,%Change in COG Lat,Avg Cog Depth Start,Avg Cog Depth End,Diff in COG Depth,%Change in COG Depth 
Acantholumpenus mackayi,Pighead prickleback,63.764,63.865,0.101,0.16,-16.992,-17.762,-0.77,4.53
Arctoraja parmifera,Alaska skate,62.163,62.091,-0.072,-0.12,-36.124,-38.701,-2.576,7.13
Aspidophoroides olrikii,Arctic alligatorfish,64.542,64.616,0.074,0.11,-43.403,-46.235,-2.833,6.53
Asterias amurensis,North pacific seastar,63.111,62.997,-0.114,-0.18,-25.255,-26.409,-1.153,4.57
Boltenia ovifera,Stalked sea squirt,64.011,63.869,-0.143,-0.22,-41.86,-38.382,3.478,-8.31
Boreogadus saida,Arctic cod,62.798,63.587,0.789,1.26,-54.972,-49.1,5.872,-10.68
Buccinum angulosum,Angular whelk,62.723,62.511,-0.212,-0.34,-42.605,-39.784,2.821,-6.62
Buccinum polare,Polar whelk,62.692,62.692,0,0,-46.969,-49.71,-2.741,5.84
Buccinum scalariforme,Ladder whelk,62.826,62.193,-0.634,-1.01,-48.354,-46.159,2.195,-4.54
Chionoecetes opilio,Snow crab,62.343,63.06,0.718,1.15,-52.344,-48.582,3.762,-7.19
Chrysaora melanaster,,62.519,62.842,0.323,0.52,-43.416,-46.238,-2.822,6.5
Clupea pallasii,Pacific herring,62.361,62.419,0.058,0.09,-42.644,-34.771,7.873,-18.46
Crossaster papposus,Common sunstar,64.87,65.058,0.188,0.29,-37.413,-40.399,-2.986,7.98
Eleginus gracilis,Saffron cod,63.365,63.598,0.233,0.37,-23.593,-22.407,1.186,-5.03
Enophrys diceraus,Antlered sculpin,64.109,64.402,0.293,0.46,-28.541,-22.767,5.774,-20.23
Erimacrus isenbeckii,Hair crab,60.999,60.965,-0.034,-0.06,-34.532,-35.644,-1.112,3.22
Eunoe depressa,Depressed scale worm,63.839,62.94,-0.899,-1.41,-35.805,-36.753,-0.948,2.65
Eunoe nodosa,Giant scale worm,63.102,62.909,-0.193,-0.31,-50.032,-51.941,-1.909,3.82
Evasterias echinosoma,Giant sea star,64.512,64.522,0.011,0.02,-26.001,-25.522,0.479,-1.84
Gadus chalcogrammus,Walleye pollock,63.025,62.594,-0.432,-0.68,-41.923,-45.266,-3.344,7.98
Gadus macrocephalus,Pacific cod,63.531,62.48,-1.051,-1.65,-40.728,-40.675,0.053,-0.13
Gorgonocephalus eucnemis,Basket star,62.948,63.842,0.894,1.42,-41.823,-37.75,4.073,-9.74
Gymnocanthus pistilliger,Threaded sculpin,63.97,63.014,-0.956,-1.49,-23.541,-23.771,-0.23,0.98
Hexagrammos stelleri,Whitespotted greenling,63.015,62.162,-0.853,-1.35,-21.731,-22.969,-1.238,5.7
Hippoglossoides elassodon and H. robustus,Flathead sole-bering flounder,62.796,62.63,-0.166,-0.26,-56.837,-54.478,2.359,-4.15
